o_cbg,d_cbg,flow_w,Predict_flow
270370601042.0,271230305003.0,4.0,0.0
270190907013.0,270190910003.0,3.0,0.0
270530241002.0,270530240043.0,2.0,0.0
271230360002.0,271630710181.0,2.0,0.0
270370607391.0,270370606051.0,2.0,0.0
270370611023.0,270370610011.0,2.0,0.0
270030508112.0,270030511021.0,3.0,0.0
270530260071.0,270530260073.0,5.0,0.0
270370608123.0,270370609043.0,2.0,0.0
270370608151.0,270370607441.0,2.0,0.0
270030508163.0,270030502331.0,6.0,0.0
270030502151.0,270530268203.0,2.0,0.0
270370607272.0,271390802032.0,3.0,0.0
270030511011.0,270030512012.0,8.0,0.0
270370607332.0,270370607171.0,8.0,0.0
270030502081.0,270030505051.0,3.0,0.0
270370608231.0,270370608191.0,2.0,0.0
270030506051.0,270530267104.0,2.0,0.0
270530246002.0,270530254032.0,2.0,0.0
270370608211.0,270370608151.0,3.0,0.0
270030508112.0,270030507063.0,6.0,0.0
271230406041.0,271230402002.0,3.0,0.0
270370607112.0,271390801001.0,5.0,0.0
271230424011.0,271630709071.0,4.0,0.0
270530267105.0,270530268076.0,7.0,0.0
270370608211.0,270370608152.0,5.0,0.0
270530264042.0,270530269092.0,7.0,0.0
271390803011.0,270190909001.0,2.0,0.0
270530267105.0,270530203012.0,3.0,0.0
270531049004.0,270530078012.0,2.0,0.0
270190909001.0,270190904021.0,5.0,0.0
270030507071.0,270030504021.0,2.0,0.0
270190909004.0,270190907013.0,3.0,0.0
270530017002.0,271230406013.0,2.0,0.0
270370608151.0,271390811003.0,3.0,0.0
270530251003.0,270530219003.0,3.0,0.0
270030508064.0,270030504021.0,2.0,0.0
270190905021.0,270190911001.0,4.0,0.0
270190909001.0,270530220001.0,2.0,0.0
270190903011.0,270190901001.0,6.0,0.0
271230359001.0,271630709102.0,6.0,0.0
270370607102.0,270530252012.0,2.0,0.0
270030512022.0,270530267105.0,2.0,0.0
270530267105.0,270530269093.0,8.0,0.0
270370611052.0,270370607102.0,2.0,0.0
270030508054.0,271630709122.0,2.0,0.0
270370607332.0,270370607342.0,4.0,0.0
271630712081.0,271630712082.0,5.0,0.0
270370608141.0,271390812001.0,6.0,0.0
270030502104.0,270370603011.0,2.0,0.0
270370607093.0,270370607451.0,5.0,0.0
270530223023.0,270530230003.0,3.0,0.0
270530246002.0,270530252012.0,2.0,0.0
270530239033.0,270530237003.0,2.0,0.0
271230413022.0,271630709072.0,2.0,0.0
270530267105.0,270530267133.0,2.0,0.0
271230405031.0,270030509012.0,2.0,0.0
270030508053.0,270030502331.0,5.0,0.0
270370608174.0,270370608122.0,4.0,0.0
271230413022.0,271230419003.0,2.0,0.0
270530237001.0,270030502222.0,2.0,0.0
270370608141.0,270530259035.0,3.0,0.0
271630704061.0,271630710103.0,6.0,0.0
270370604011.0,271630709072.0,2.0,0.0
270530219003.0,270530266132.0,2.0,0.0
270370607171.0,270370606034.0,2.0,0.0
271230423011.0,271630709062.0,3.0,0.0
270190906011.0,270530262022.0,2.0,0.0
270030501154.0,270030501102.0,2.0,0.0
270370608152.0,270370608141.0,17.0,0.0
270370607391.0,270530240051.0,2.0,0.0
270030508161.0,270030502161.0,2.0,0.0
270370601041.0,270370608182.0,2.0,0.0
270530220001.0,270530237004.0,2.0,0.0
270030502102.0,270030502103.0,2.0,0.0
270539800001.0,271630710171.0,2.0,0.0
270530202003.0,270530267022.0,2.0,0.0
270190906011.0,270531065001.0,2.0,0.0
270030509011.0,270030508162.0,2.0,0.0
271230424012.0,271630709071.0,2.0,0.0
270370607093.0,270370607112.0,2.0,0.0
270030507104.0,270030508162.0,5.0,0.0
270370607441.0,270370608062.0,2.0,0.0
270030501081.0,271390803012.0,2.0,0.0
270370608203.0,270370608201.0,4.0,0.0
270370607351.0,270370607491.0,3.0,0.0
270370607452.0,270370608211.0,10.0,0.0
270030504023.0,270030508064.0,2.0,0.0
270530267105.0,270530268161.0,2.0,0.0
270530082001.0,270530083001.0,2.0,1.0
270190910004.0,270190905011.0,3.0,0.0
